CV1	CV2	energy	groups	mobility	Heuristic_Classes	Detected_Classes
0.017926084849	-0.0631719096142	-129.911939	9	1.11440877543	Gamma	Class3
0.00428651930688	-0.0429799693508	-129.767484	9	0.18265301918	Gamma	Class3
-0.0552265242963	0.00578449756257	-129.765351	9	1.04720671023	Gamma	Class3
0.0064339632241	-0.0387337651823	-129.737316	9	0.191820383814	Gamma	Class3
-0.00782373686802	-0.0386597874523	-129.700319	9	0.364868882563	Gamma	Class3
0.0114424918729	-0.0379059212526	-129.668878	9	0.185580522663	Gamma	Class3
0.0111912992683	-0.0314010902665	-129.654367	9	0.198211735104	Gamma	Class3
0.0213666035885	-0.0353787769106	-129.646695	9	0.709174204589	Gamma	Class3
-0.00729958768186	-0.0382658845298	-129.56803	9	0.55464340998	Gamma	Class3
0.0135240853539	-0.0512342033155	-129.527538	9	0.370530335143	Gamma	Class3
0.00298704981001	-0.0337898093375	-129.384303	9	0.206499369507	Gamma	Class3
0.0104089816472	-0.0360677674199	-129.348421	9	0.125265415622	Gamma	Class3
0.0283522231784	-0.0504556814931	-129.325743	9	0.219003199696	Gamma	Class3
0.0150574045981	-0.0421725576336	-129.225171	9	0.00239348444731	Gamma	Class3
0.0166102009651	-0.0463991605548	-129.044853	9	0.0736361147651	Gamma	Class3
0.00125741031795	-0.0368800862215	-129.041053	9	0.361780577462	Gamma	Class3
0.0144983313033	-0.0493668416243	-128.92183	9	0.385475579212	Gamma	Class3
0.00398273420313	-0.0421266897073	-128.895101	9	0.00074726234897	Gamma	Class3
0.00459032313398	-0.0479319577558	-128.853831	9	0.0018052076289	Gamma	Class3
0.0190133923544	-0.0669726669065	-128.772444	9	1.16596237108	Gamma	Class3
-0.0015847136507	-0.0311093236261	-128.710953	9	0.0987189380138	Sheet	Class3
0.00450210468259	-0.0403309770052	-128.59297	9	0.0025237620677	Gamma	Class3
0.0217787461101	-0.0485273835305	-128.57998	9	0.173060668864	Gamma	Class3
0.00514746876503	-0.038639825918	-128.562487	9	0.000341724063385	Gamma	Class3
-0.00198143996643	-0.0531561833689	-128.399055	9	0.00180522625549	Gamma	Class3
-0.0662703400391	0.00987346779773	-128.319757	9	1.17869727989	Gamma	Noise
-0.00169071489011	-0.041277512839	-128.24524	9	0.445522441838	Gamma	Class3
0.00673440685421	-0.0419973475259	-128.222637	9	0.0039277171247	Gamma	Class3
-0.012666401421	-0.0350503630597	-128.107182	9	0.363859826532	Gamma	Class3
0.00565680213584	-0.0501276844699	-128.068251	9	0.279182843273	Gamma	Class3
-0.120408628434	-0.0449195815744	-128.042289	9	0.504061932958	Gamma	Noise
-0.0138252636284	-0.0307101494731	-128.042208	9	0.597060805155	Gamma	Class3
0.00471275568773	-0.0454807271138	-127.969018	9	0.00149017371414	Gamma	Class3
0.00569560884032	-0.0424537980838	-127.901233	9	0.00186843954247	Gamma	Class3
-0.0126542037287	-0.0334307292164	-127.849882	9	0.554644660078	Gamma	Class3
0.0182812960795	-0.0434282975995	-127.836214	9	0.0013898488135	Gamma	Class3
0.0070114923219	-0.0357117929812	-127.809758	9	0.00252033287181	Gamma	Class3
0.0167328369398	-0.0558640097962	-127.754417	9	0.53081543139	Gamma	Class3
-0.140785455906	-0.0757117242561	-127.655135	9	1.60026381249	Slipped_Gamma	Noise
-0.00251716202609	-0.038265988985	-127.64865	9	0.00227572789206	Gamma	Class3
0.0118547775254	-0.0335967229242	-127.631471	9	0.292944042867	Gamma	Class3
-0.0105913702181	-0.0328242927151	-127.560703	9	0.00470316199959	Sheet	Class3
0.050846969382	0.0371311951291	-127.543163	9	0.788262485202	Gamma	Noise
-0.10394099971	-0.0772042304915	-127.403381	9	0.00404567997038	Slipped_Gamma	Noise
-0.0516326784167	0.030015959596	-127.398322	9	0.212584608377	Sheet	Class3
0.0503337416569	-0.0448912749882	-127.355101	9	0.000990901750968	Gamma	Noise
0.0251915701994	-0.0589331805309	-127.239407	9	0.642828708095	Gamma	Class3
-0.0730525326882	0.00401626606412	-127.165209	9	0.520939070006	Gamma	Noise
0.00297595712174	-0.0520372266183	-161.878861	10	0.0017131490941	Gamma	Class3
-0.12629984921	-0.0192937372428	-144.790414	11	0.00327155031063	Gamma	Noise
-0.0127393267231	-0.0121366874652	-141.876113	11	0.00128380995404	Gamma	Noise
-0.0109290320644	-0.0140290964341	-141.231618	11	0.356294282032	Gamma	Class3
-0.0293970616536	-0.00921419749529	-140.707956	11	0.882965950158	Gamma	Class3
-0.0593629814673	0.00316414506377	-139.707126	11	0.311654192659	Gamma	Class3
-0.00865457291156	-0.0402707452275	-138.933794	11	0.00117464923117	Gamma	Class3
-0.012489216641	-0.0248671526648	-138.171045	11	0.00255521673894	Gamma	Class3
